,name,company,year,Price,kms_driven,fuel_type
41,honda city 1.5,honda,2011,280000.0,33000.0,petrol
42,maruti suzuki alto,maruti,2015,250000.0,60000.0,petrol
43,maruti suzuki dzire,maruti,2013,349999.0,46000.0,diesel
44,honda amaze,honda,2013,284999.0,46000.0,diesel
45,honda amaze 1.5,honda,2015,345000.0,36000.0,diesel
46,honda city,honda,2015,499999.0,55000.0,petrol
47,datsun redi go,datsun,2017,235000.0,16000.0,petrol
48,maruti suzuki sx4,maruti,2010,249999.0,36000.0,petrol
49,mitsubishi pajero sport,mitsubishi,2015,1475000.0,47000.0,diesel
50,mahindra bolero di,mahindra,2017,180000.0,23452.0,diesel
51,maruti suzuki swift,maruti,2014,385000.0,35522.0,diesel
52,mahindra scorpio s10,mahindra,2015,250000.0,48508.0,diesel
53,maruti suzuki swift,maruti,2017,180000.0,15487.0,petrol
54,maruti suzuki wagon,maruti,2013,105000.0,39000.0,petrol
55,maruti suzuki wagon,maruti,2013,105000.0,39000.0,petrol
56,mahindra scorpio s10,mahindra,2015,395000.0,35000.0,diesel
57,maruti suzuki swift,maruti,2017,220000.0,30874.0,petrol
58,honda city zx,honda,2017,170000.0,15000.0,diesel
59,maruti suzuki wagon,maruti,2013,85000.0,29685.0,petrol
60,ford figo,ford,2012,175000.0,41000.0,diesel
61,hyundai eon,hyundai,2013,190000.0,25000.0,petrol
62,tata indigo ecs,tata,2017,200000.0,130000.0,diesel
63,ford ecosport ambiente,ford,2016,830000.0,24530.0,diesel
64,tata indigo ecs,tata,2017,200000.0,130000.0,diesel
65,mahindra scorpio sle,mahindra,2012,570000.0,19000.0,diesel
66,volkswagen polo highline,volkswagen,2014,315000.0,60000.0,petrol
67,skoda fabia classic,skoda,2010,182000.0,60000.0,petrol
68,maruti suzuki stingray,maruti,2015,315000.0,30000.0,petrol
69,i want to,i,2017,404688.5344224037,46010.55011933174,petrol
70,chevrolet spark ls,chevrolet,2010,110000.0,41000.0,petrol
71,renault duster 110ps,renault,2012,501000.0,35000.0,diesel
72,honda city,honda,2015,448999.0,54000.0,petrol
73,mini cooper s,mini,2013,1891111.0,13000.0,petrol
74,datsun redi go,datsun,2017,235000.0,16000.0,petrol
75,skoda fabia 1.2l,skoda,2011,159500.0,38200.0,diesel
76,honda amaze,honda,2015,344999.0,22000.0,petrol
77,honda amaze,honda,2015,344999.0,22000.0,petrol
78,renault duster,renault,2014,449999.0,50000.0,diesel
79,mini cooper s,mini,2013,1891111.0,13500.0,petrol
80,mahindra scorpio s4,mahindra,2015,865000.0,30000.0,diesel
81,mahindra scorpio vlx,mahindra,2014,699000.0,50000.0,diesel
82,mahindra quanto c8,mahindra,2013,375000.0,20000.0,diesel
83,ford ecosport,ford,2017,489999.0,39000.0,petrol
84,honda brio,honda,2012,224999.0,30000.0,petrol
85,i want to,i,2017,404688.5344224037,46010.55011933174,petrol
86,volkswagen vento highline,volkswagen,2019,1200000.0,3600.0,diesel
87,hyundai i20 magna,hyundai,2009,195000.0,32000.0,petrol
88,toyota corolla altis,toyota,2010,351000.0,38000.0,diesel
89,hyundai verna transform,hyundai,2008,160000.0,45000.0,petrol
90,toyota corolla altis,toyota,2009,240000.0,35000.0,petrol
91,honda city 1.5,honda,2005,90000.0,50000.0,petrol
92,hyundai elite i20,hyundai,2014,415000.0,32000.0,petrol
93,skoda fabia 1.2l,skoda,2011,155000.0,45863.0,diesel
94,bmw 3 series,bmw,2011,600000.0,60500.0,petrol
95,maruti suzuki a,maruti,2011,189500.0,12500.0,petrol
96,toyota etios gd,toyota,2013,350000.0,60000.0,diesel
97,ford figo diesel,ford,2012,210000.0,35000.0,diesel
98,maruti suzuki swift,maruti,2014,390000.0,35000.0,petrol
99,chevrolet beat lt,chevrolet,2012,135000.0,45000.0,diesel
100,bmw 7 series,bmw,2009,1600000.0,35000.0,petrol
101,mahindra xuv500 w8,mahindra,2013,701000.0,38000.0,diesel
102,hyundai i10 magna,hyundai,2014,265000.0,18000.0,petrol
103,hyundai verna fluidic,hyundai,2015,525000.0,35000.0,diesel
104,maruti suzuki swift,maruti,2013,372000.0,13349.0,petrol
105,maruti suzuki ertiga,maruti,2016,635000.0,29000.0,petrol
106,ford ecosport titanium,ford,2014,550000.0,44000.0,diesel
107,maruti suzuki ertiga,maruti,2016,575000.0,29000.0,petrol
108,maruti suzuki ertiga,maruti,2013,485000.0,42000.0,diesel
109,maruti suzuki alto,maruti,2012,155000.0,14000.0,petrol
110,hyundai grand i10,hyundai,2014,345000.0,49000.0,diesel
111,honda amaze 1.2,honda,2014,325000.0,42000.0,petrol
112,hyundai i20 asta,hyundai,2012,329500.0,36200.0,diesel
113,ford figo diesel,ford,2014,195000.0,50000.0,diesel
114,maruti suzuki eeco,maruti,2015,251111.0,55000.0,petrol
115,maruti suzuki ertiga,maruti,2014,569999.0,45000.0,petrol
116,maruti suzuki esteem,maruti,2007,69999.0,51000.0,petrol
117,maruti suzuki ritz,maruti,2014,299999.0,19000.0,petrol
118,maruti suzuki dzire,maruti,2009,220000.0,46000.0,petrol
119,maruti suzuki ritz,maruti,2013,399999.0,33000.0,diesel
120,maruti suzuki swift,maruti,2013,372000.0,13349.0,petrol
121,maruti suzuki dzire,maruti,2015,450000.0,104000.0,diesel
122,toyota etios liva,toyota,2014,270000.0,55000.0,petrol
123,hyundai i20 sportz,hyundai,2011,350000.0,33333.0,diesel
124,chevrolet spark,chevrolet,2012,158400.0,33600.0,petrol
125,maruti suzuki alto,maruti,2017,350000.0,5600.0,petrol
126,nissan micra xv,nissan,2011,179000.0,41000.0,petrol
127,maruti suzuki swift,maruti,2007,125000.0,70000.0,petrol
128,maruti suzuki alto,maruti,2018,200000.0,7500.0,petrol
129,honda amaze 1.5,honda,2013,299000.0,45000.0,diesel
130,maruti suzuki alto,maruti,2015,220000.0,38000.0,petrol
131,chevrolet beat,chevrolet,2015,150000.0,30000.0,petrol
132,toyota corolla,toyota,2009,275000.0,26000.0,petrol
133,honda city 1.5,honda,2010,285000.0,35000.0,petrol
134,ford ecosport trend,ford,2016,830000.0,24330.0,diesel
135,hyundai i20 asta,hyundai,2009,210000.0,65480.0,petrol
136,maruti suzuki swift,maruti,2013,340000.0,41000.0,petrol
137,tata indica v2,tata,2006,90000.0,20000.0,petrol
138,maruti suzuki alto,maruti,2018,404688.5344224037,28028.0,petrol
139,hindustan motors ambassador,hindustan,2000,70000.0,46010.5501193318,diesel
140,toyota corolla altis,toyota,2010,289999.0,70000.0,petrol
141,toyota corolla altis,toyota,2012,349999.0,59000.0,petrol
142,toyota innova 2.5,toyota,2012,849999.0,99000.0,diesel
143,volkswagen jetta highline,volkswagen,2014,749999.0,46000.0,diesel
144,volkswagen polo comfortline,volkswagen,2015,399999.0,2800.0,petrol
145,volkswagen polo,volkswagen,2014,274999.0,32000.0,petrol
146,mahindra scorpio,mahindra,2015,984999.0,22000.0,diesel
147,renault duster,renault,2014,449999.0,50000.0,diesel
148,honda amaze,honda,2015,344999.0,22000.0,petrol
149,nissan sunny,nissan,2012,224999.0,45000.0,petrol
150,hyundai elite i20,hyundai,2018,599999.0,21000.0,petrol
151,renault kwid,renault,2016,244999.0,11000.0,petrol
152,renault duster,renault,2013,399999.0,41000.0,diesel
153,ford ecosport,ford,2017,489999.0,39000.0,petrol
154,renault duster,renault,2014,474999.0,50000.0,diesel
155,mahindra scorpio vlx,mahindra,2011,499999.0,66000.0,diesel
156,maruti suzuki alto,maruti,2018,310000.0,3000.0,petrol
157,chevrolet spark lt,chevrolet,2010,85000.0,45000.0,petrol
158,datsun redi go,datsun,2016,245000.0,7000.0,petrol
159,maruti suzuki swift,maruti,2010,189500.0,38500.0,diesel
160,fiat punto emotion,fiat,2012,169500.0,37200.0,diesel
161,maruti suzuki swift,maruti,2010,159500.0,43200.0,diesel
162,toyota etios gd,toyota,2013,275000.0,24800.0,petrol
163,hyundai i20 sportz,hyundai,2014,370000.0,60000.0,diesel
164,hyundai i10 sportz,hyundai,2010,168000.0,45872.0,petrol
165,chevrolet beat lt,chevrolet,2011,150000.0,40000.0,diesel
166,chevrolet beat ls,chevrolet,2011,145000.0,45000.0,diesel
167,chevrolet beat lt,chevrolet,2012,98500.0,38000.0,diesel
168,mahindra scorpio vlx,mahindra,2014,699000.0,50000.0,diesel
169,tata indigo cs,tata,2011,85000.0,11400.0,diesel
170,toyota corolla altis,toyota,2015,575000.0,42000.0,petrol
171,honda city 1.5,honda,2014,549000.0,39000.0,petrol
172,maruti suzuki swift,maruti,2011,209000.0,47000.0,diesel
173,hyundai eon era,hyundai,2013,185000.0,27000.0,petrol
174,mahindra scorpio s10,mahindra,2015,900000.0,97200.0,diesel
175,mahindra xuv500,mahindra,2014,699999.0,52000.0,diesel
176,honda brio,honda,2012,224999.0,30000.0,petrol
177,ford fiesta,ford,2011,274999.0,55000.0,diesel
178,honda amaze,honda,2013,284999.0,46000.0,diesel
179,honda city,honda,2015,599999.0,30000.0,diesel
180,maruti suzuki wagon,maruti,2012,199999.0,44000.0,petrol
181,honda city,honda,2014,544999.0,45000.0,diesel
182,hyundai i20,hyundai,2009,199000.0,31000.0,petrol
183,tata indigo ecs,tata,2016,320000.0,175430.0,diesel
184,hyundai fluidic verna,hyundai,2015,540000.0,38000.0,diesel
185,"commercial , dzire",commercial,2015,404688.5344224037,46010.55011933174,petrol
186,mahindra quanto c8,mahindra,2013,340000.0,37000.0,diesel
187,fiat petra elx,fiat,2008,75000.0,65000.0,petrol
188,skoda fabia 1.2l,skoda,2011,159500.0,38200.0,diesel
189,mini cooper s,mini,2013,1891111.0,13000.0,petrol
190,hyundai santro xing,hyundai,2005,49000.0,7500.0,petrol
191,maruti suzuki ciaz,maruti,2016,700000.0,3350.0,petrol
192,maruti suzuki zen,maruti,2000,55000.0,60000.0,petrol
193,honda city,honda,2015,448999.0,54000.0,petrol
194,hyundai creta 1.6,hyundai,2017,895000.0,32000.0,petrol
195,tata indigo ecs,tata,2015,150000.0,46010.55011933174,petrol
196,mahindra scorpio slx,mahindra,2007,355000.0,75000.0,diesel
197,mahindra scorpio sle,mahindra,2012,565000.0,62000.0,diesel
198,toyota innova 2.5,toyota,2006,365000.0,73000.0,diesel
199,maruti suzuki alto,maruti,2011,145000.0,41000.0,petrol
200,maruti suzuki wagon,maruti,2011,210000.0,35000.0,petrol
201,tata nano cx,tata,2013,40000.0,2200.0,petrol
202,maruti suzuki alto,maruti,2013,125000.0,39000.0,petrol
203,maruti suzuki wagon,maruti,2009,135000.0,45000.0,petrol
204,maruti suzuki swift,maruti,2006,135000.0,45000.0,petrol
205,tata sumo victa,tata,2012,285000.0,65000.0,diesel
206,maruti suzuki desi,maruti,2015,400000.0,46010.55011933174,petrol
207,maruti suzuki wagon,maruti,2010,145000.0,54870.0,petrol
208,maruti suzuki alto,maruti,2010,135000.0,34580.0,petrol
209,volkswagen passat diesel,volkswagen,2009,450000.0,97000.0,diesel
210,renault scala rxl,renault,2015,375000.0,25000.0,diesel
211,mahindra quanto c8,mahindra,2013,375000.0,20000.0,diesel
212,hyundai grand i10,hyundai,2014,365000.0,20000.0,petrol
213,hyundai i20 active,hyundai,2015,500000.0,18000.0,petrol
214,mahindra xylo e4,mahindra,2012,400000.0,35000.0,diesel
215,mahindra jeep mm,mahindra,2019,390000.0,60.0,diesel
216,renault duster 110ps,renault,2012,501000.0,35000.0,diesel
217,mahindra bolero sle,mahindra,2013,330000.0,80200.0,diesel
218,force motors force,force,2015,580000.0,3200.0,diesel
219,maruti suzuki sx4,maruti,2012,265000.0,46000.0,diesel
220,mahindra jeep cl550,mahindra,2019,379000.0,0.0,diesel
221,maruti suzuki alto,maruti,2015,219000.0,5000.0,petrol
222,mahindra jeep cl550,mahindra,2018,385000.0,588.0,diesel
223,toyota etios,toyota,2011,275000.0,36000.0,diesel
224,volkswagen polo,volkswagen,2015,330000.0,38000.0,diesel
225,honda city zx,honda,2008,110000.0,45000.0,petrol
226,maruti suzuki wagon,maruti,2006,80000.0,71200.0,petrol
227,honda city vx,honda,2016,519000.0,52000.0,diesel
228,mahindra thar crde,mahindra,2016,730000.0,29000.0,diesel
229,mitsubishi pajero sport,mitsubishi,2015,1475000.0,47000.0,diesel
230,audi a4 1.8,audi,2009,699000.0,47000.0,petrol
231,mercedes benz gla,mercedes,2015,2000000.0,20000.0,diesel
232,land rover freelander,land,2015,2100000.0,30000.0,diesel
233,renault kwid rxt,renault,2017,340000.0,5000.0,petrol
234,tata aria pleasure,tata,2014,390000.0,35000.0,diesel
235,mercedes benz b,mercedes,2014,1400000.0,31000.0,petrol
236,datsun go t,datsun,2016,245000.0,7000.0,petrol
237,tata indigo ecs,tata,2016,320000.0,175430.0,diesel
238,tata indigo ecs,tata,2016,320000.0,175400.0,diesel
239,honda jazz vx,honda,2016,450000.0,41000.0,petrol
240,honda amaze 1.2,honda,2014,311000.0,33000.0,petrol
241,honda amaze,honda,2013,284999.0,46000.0,diesel
242,honda city,honda,2012,399999.0,45000.0,petrol
243,honda city,honda,2015,599999.0,39000.0,diesel
244,honda amaze,honda,2015,344999.0,22000.0,petrol
245,audi a4 1.8,audi,2009,699000.0,47000.0,petrol
246,force motors force,force,2015,580000.0,3200.0,diesel
247,mahindra scorpio s4,mahindra,2015,855000.0,30000.0,diesel
248,hyundai i20 active,hyundai,2015,535000.0,37000.0,diesel
249,mini cooper s,mini,2013,1891111.0,13000.0,petrol
250,maruti suzuki ciaz,maruti,2017,699000.0,14000.0,petrol
251,chevrolet tavera neo,chevrolet,2013,375000.0,55000.0,diesel
252,honda amaze,honda,2013,284999.0,46000.0,diesel
253,hyundai eon sportz,hyundai,2012,178000.0,30000.0,petrol
254,tata sumo gold,tata,2013,300000.0,50000.0,diesel
255,maruti suzuki wagon,maruti,2003,90000.0,45000.0,petrol
256,maruti suzuki esteem,maruti,2006,95000.0,45000.0,petrol
257,maruti suzuki eeco,maruti,2015,255000.0,9300.0,petrol
258,chevrolet enjoy 1.4,chevrolet,2013,245000.0,55000.0,diesel
259,hyundai i20 asta,hyundai,2012,329500.0,36200.0,diesel
260,ford figo diesel,ford,2014,195000.0,50000.0,diesel
261,maruti suzuki eeco,maruti,2015,251111.0,55000.0,petrol
262,maruti suzuki ertiga,maruti,2014,569999.0,45000.0,petrol
263,maruti suzuki esteem,maruti,2007,69999.0,51000.0,petrol
264,maruti suzuki ritz,maruti,2014,299999.0,19000.0,petrol
265,maruti suzuki dzire,maruti,2009,220000.0,46000.0,petrol
266,maruti suzuki ritz,maruti,2013,399999.0,33000.0,diesel
267,maruti suzuki sx4,maruti,2010,249999.0,36000.0,petrol
268,maruti suzuki wagon,maruti,2015,289999.0,22000.0,petrol
269,mini cooper s,mini,2013,1891111.0,13500.0,petrol
270,nissan terrano xl,nissan,2015,499999.0,60000.0,diesel
271,renault duster 85,renault,2013,489999.0,27000.0,diesel
272,renault duster 85,renault,2014,489999.0,59000.0,diesel
273,renault duster 85,renault,2015,549999.0,19000.0,diesel
274,maruti suzuki dzire,maruti,2013,380000.0,30000.0,petrol
275,renault kwid rxt,renault,2018,325000.0,15000.0,petrol
276,maruti suzuki maruti,maruti,2003,57000.0,56758.0,petrol
277,renault kwid 1.0,renault,2018,349999.0,10000.0,petrol
278,renault lodgy 85,renault,2018,689999.0,20000.0,diesel
279,renault scala rxl,renault,2014,349999.0,49000.0,diesel
280,hyundai grand i10,hyundai,2014,410000.0,41000.0,petrol
281,maruti suzuki swift,maruti,2011,225000.0,45000.0,petrol
282,chevrolet beat ls,chevrolet,2010,120000.0,43000.0,petrol
283,tata indigo ecs,tata,2016,320000.0,175430.0,diesel
284,hyundai santro xing,hyundai,2000,59000.0,56450.0,petrol
285,hyundai fluidic verna,hyundai,2015,540000.0,38000.0,diesel
286,"commercial , dzire",commercial,2015,404688.5344224037,46010.55011933174,petrol
287,chevrolet beat ls,chevrolet,2010,80000.0,56000.0,petrol
288,mahindra quanto c8,mahindra,2013,340000.0,37000.0,diesel
289,fiat petra elx,fiat,2008,75000.0,65000.0,petrol
290,chevrolet beat ls,chevrolet,2015,220000.0,32700.0,petrol
291,skoda fabia 1.2l,skoda,2011,159500.0,38200.0,diesel
292,ford ecosport titanium,ford,2016,599000.0,30000.0,diesel
293,hyundai accent glx,hyundai,2006,80000.0,56000.0,petrol
294,yama,yamaha,2015,55000.0,46010.55011933174,petrol
295,maruti suzuki swift,maruti,2010,404688.5344224037,52000.0,diesel
296,mahindra tuv300 t4,mahindra,2016,675000.0,9000.0,diesel
297,mini cooper s,mini,2013,1891111.0,13000.0,petrol
298,mini cooper s,mini,2013,1891111.0,13000.0,petrol
299,tata indica v2,tata,2008,150000.0,11000.0,petrol
300,mini cooper s,mini,2013,1891111.0,13000.0,petrol
301,tata indigo cs,tata,2009,72500.0,46000.0,diesel
302,maruti suzuki swift,maruti,2019,610000.0,73.0,petrol
303,mahindra scorpio vlx,mahindra,2004,230000.0,160000.0,diesel
304,tata indica ev2,tata,2017,404688.5344224037,84000.0,diesel
305,honda accord,honda,2009,175000.0,58559.0,petrol
306,mahindra scorpio s4,mahindra,2015,855000.0,30000.0,diesel
307,chevrolet tavera neo,chevrolet,2013,375000.0,55000.0,diesel
308,ford ecosport titanium,ford,2014,520000.0,57000.0,diesel
309,maruti suzuki ertiga,maruti,2015,524999.0,50000.0,diesel
310,honda amaze,honda,2014,299999.0,37000.0,petrol
311,maruti suzuki dzire,maruti,2012,299999.0,40000.0,petrol
312,honda city,honda,2011,284999.0,55000.0,petrol
313,mahindra scorpio 2.6,mahindra,2007,220000.0,170000.0,diesel
314,maruti suzuki dzire,maruti,2014,424999.0,55000.0,diesel
315,honda city,honda,2015,644999.0,39000.0,petrol
316,honda mobilio,honda,2014,399999.0,44000.0,petrol
317,toyota corolla altis,toyota,2009,199999.0,65000.0,petrol
318,honda city,honda,2014,584999.0,39000.0,petrol
319,skoda laura,skoda,2012,349999.0,44000.0,diesel
320,renault duster,renault,2015,449999.0,49000.0,diesel
321,maruti suzuki ertiga,maruti,2018,799999.0,9000.0,diesel
322,maruti suzuki dzire,maruti,2015,444999.0,45000.0,diesel
323,mahindra xuv500,mahindra,2014,649999.0,47000.0,diesel
324,hyundai verna fluidic,hyundai,2012,444999.0,40000.0,diesel
325,maruti suzuki vitara,maruti,2016,689999.0,29000.0,diesel
326,maruti suzuki wagon,maruti,2016,344999.0,15000.0,petrol
327,mahindra scorpio,mahindra,2015,944999.0,45000.0,diesel
328,honda amaze,honda,2014,274999.0,35000.0,petrol
329,mahindra xuv500,mahindra,2013,689999.0,80000.0,diesel
330,mahindra scorpio,mahindra,2013,574999.0,68000.0,diesel
331,skoda laura,skoda,2013,374999.0,50000.0,diesel
332,volkswagen polo,volkswagen,2010,199999.0,60000.0,diesel
333,hyundai elite i20,hyundai,2016,549999.0,9000.0,petrol
334,tata manza aura,tata,2012,130000.0,72000.0,diesel
335,chevrolet sail uva,chevrolet,2013,210000.0,60000.0,petrol
336,renault duster 110,renault,2012,501000.0,38000.0,diesel
337,hyundai verna fluidic,hyundai,2013,401000.0,45000.0,diesel
338,audi a4 2.0,audi,2012,1350000.0,40000.0,diesel
339,hyundai elantra sx,hyundai,2013,600000.0,20000.0,petrol
340,mahindra scorpio vlx,mahindra,2013,610000.0,35000.0,diesel
341,mahindra kuv100 k8,mahindra,2016,400000.0,20000.0,diesel
342,renault scala rxl,renault,2015,375000.0,25000.0,diesel
343,mahindra quanto c8,mahindra,2013,375000.0,20000.0,diesel
344,hyundai grand i10,hyundai,2014,365000.0,20000.0,petrol
345,hyundai i20 active,hyundai,2015,500000.0,18000.0,petrol
346,mahindra xylo e4,mahindra,2012,400000.0,35000.0,diesel
347,hyundai grand i10,hyundai,2017,524999.0,6821.0,petrol
348,hyundai i20,hyundai,2014,449999.0,23000.0,petrol
349,hyundai eon,hyundai,2014,174999.0,14000.0,petrol
350,hyundai i10,hyundai,2012,244999.0,38000.0,petrol
351,hyundai i20 active,hyundai,2015,574999.0,35000.0,diesel
352,datsun redi go,datsun,2017,244999.0,22000.0,petrol
353,toyota etios liva,toyota,2011,239999.0,41000.0,petrol
354,hyundai accent,hyundai,2010,99999.0,45000.0,petrol
355,hyundai verna,hyundai,2014,489999.0,44000.0,diesel
356,maruti suzuki swift,maruti,2013,324999.0,45000.0,diesel
357,toyota fortuner,toyota,2011,1074999.0,52000.0,diesel
358,hyundai i10 sportz,hyundai,2012,230000.0,34000.0,petrol
359,mahindra bolero power,mahindra,2018,699000.0,1800.0,diesel
360,selling car ta,selling,2015,404688.5344224037,46010.55011933174,petrol
361,mahindra xuv500,mahindra,2015,1000000.0,15000.0,diesel
362,honda city 1.5,honda,2010,240000.0,46010.5501193318,petrol
363,chevrolet spark lt,chevrolet,2009,110000.0,44000.0,petrol
364,mahindra jeep mm,mahindra,2019,390000.0,60.0,diesel
365,renault duster 110ps,renault,2012,501000.0,35000.0,diesel
366,mahindra xuv500,mahindra,2016,1130000.0,72000.0,diesel
367,tata indigo ecs,tata,2014,250000.0,40000.0,diesel
368,tata zest 90,tata,2015,404688.5344224037,46010.55011933174,petrol
369,mahindra bolero sle,mahindra,2013,330000.0,80200.0,diesel
370,force motors force,force,2015,580000.0,3200.0,diesel
371,skoda rapid elegance,skoda,2013,340000.0,48000.0,diesel
372,tata vista quadrajet,tata,2011,120000.0,90000.0,diesel
373,maruti suzuki alto,maruti,2015,265000.0,12000.0,petrol
374,maruti suzuki sx4,maruti,2012,265000.0,46000.0,diesel
375,maruti suzuki zen,maruti,2003,85000.0,69900.0,petrol
376,mahindra jeep cl550,mahindra,2019,379000.0,0.0,diesel
377,hyundai i10 magna,hyundai,2011,175000.0,45000.0,petrol
378,maruti suzuki alto,maruti,2015,219000.0,5000.0,petrol
379,maruti suzuki swift,maruti,2016,350000.0,166000.0,diesel
380,honda city zx,honda,2008,149000.0,42000.0,petrol
381,mahindra jeep cl550,mahindra,2018,385000.0,588.0,diesel
382,mahindra jeep mm,mahindra,2006,425000.0,122.0,diesel
383,chevrolet beat diesel,chevrolet,2017,150000.0,62000.0,diesel
384,honda city 1.5,honda,2010,225000.0,70000.0,petrol
385,maruti suzuki swift,maruti,2015,300000.0,46010.55011933174,petrol
386,hyundai verna 1.4,hyundai,2014,375000.0,36000.0,petrol
387,toyota innova 2.5,toyota,2012,770000.0,0.0,diesel
388,maruti suzuki alto,maruti,2018,404688.5344224037,24000.0,petrol
389,maruti suzuki maruti,maruti,1995,30000.0,55000.0,petrol
390,toyota etios,toyota,2011,275000.0,36000.0,diesel
391,volkswagen polo,volkswagen,2015,330000.0,38000.0,diesel
392,maruti suzuki swift,maruti,2014,335000.0,55000.0,diesel
393,hyundai elite i20,hyundai,2015,450000.0,20000.0,diesel
394,maruti suzuki swift,maruti,2012,225000.0,40000.0,petrol
395,maruti suzuki swift,maruti,2015,300000.0,46010.55011933174,petrol
396,maruti suzuki versa,maruti,2004,80000.0,50000.0,petrol
397,tata indigo lx,tata,2016,130000.0,104000.0,diesel
398,volkswagen vento konekt,volkswagen,2011,245000.0,65000.0,diesel
399,mercedes benz c,mercedes,2002,399000.0,41000.0,petrol
400,maruti suzuki ertiga,maruti,2013,450000.0,90000.0,diesel
401,urje,urjent,2015,180000.0,46010.55011933174,petrol
402,honda city,honda,2000,65000.0,80000.0,petrol
403,hyundai santro xing,hyundai,2006,75000.0,46000.0,petrol
404,maruti suzuki omni,maruti,2001,70000.0,70000.0,petrol
405,hyundai sonata transform,hyundai,2017,190000.0,36469.0,diesel
406,hyundai elite i20,hyundai,2018,600000.0,7800.0,petrol
407,volkswagen vento konekt,volkswagen,2011,245000.0,65000.0,diesel
408,maruti suzuki alto,maruti,2017,240000.0,60000.0,petrol
409,maruti suzuki alto,maruti,2011,155000.0,32000.0,petrol
410,honda jazz s,honda,2009,169999.0,24695.0,petrol
411,hyundai grand i10,hyundai,2017,450000.0,15141.0,petrol
412,maruti suzuki zen,maruti,2001,40000.0,40000.0,petrol
413,mahindra scorpio w,mahindra,2012,165000.0,65000.0,diesel
414,swift dzire tour,swift,2015,370000.0,46010.55011933174,petrol
415,maruti suzuki alto,maruti,2014,270000.0,22000.0,petrol
416,hyundai grand i10,hyundai,2016,280000.0,59910.0,diesel
417,mahindra xuv500 w8,mahindra,2012,560000.0,100000.0,diesel
418,hyundai creta 1.6,hyundai,2016,950000.0,25000.0,petrol
419,hyundai i20 magna,hyundai,2013,310000.0,35000.0,petrol
420,renault duster 85,renault,2015,715000.0,65000.0,diesel
421,hyundai grand i10,hyundai,2014,340000.0,35000.0,petrol
422,honda brio v,honda,2012,235000.0,33000.0,petrol
423,mahindra tuv300 t4,mahindra,2017,610000.0,68000.0,diesel
424,chevrolet spark ls,chevrolet,2010,95000.0,23000.0,petrol
425,mahindra tuv300 t8,mahindra,2018,1000000.0,4500.0,diesel
426,maruti suzuki swift,maruti,2015,220000.0,129000.0,diesel
427,nissan x trail,nissan,2019,1200000.0,300.0,diesel
428,maruti suzuki alto,maruti,2015,230000.0,5000.0,petrol
